raw_finding_id,scenario_id,family_id,context_variant,check_id,resource,file_path,severity_raw,check_name
ff33261538356ebd,CTX-08-B,CTX-08,context_b,CKV_AWS_157,aws_db_instance.target,/CTX-08/context_b/main.tf,,Ensure that RDS instances have Multi-AZ enabled
57db58a2ce68cc28,CTX-08-B,CTX-08,context_b,CKV_AWS_161,aws_db_instance.target,/CTX-08/context_b/main.tf,,Ensure RDS database has IAM authentication enabled
f2dc9d84e5347cf8,CTX-09-A,CTX-09,context_a,CKV_AWS_382,aws_security_group.target,/CTX-09/context_a/main.tf,,Ensure no security groups allow egress from 0.0.0.0:0 to port -1
69ecb30e9774828a,CTX-09-B,CTX-09,context_b,CKV_AWS_382,aws_security_group.target,/CTX-09/context_b/main.tf,,Ensure no security groups allow egress from 0.0.0.0:0 to port -1
136c251d2fd869be,CTX-07-A,CTX-07,context_a,CKV2_AWS_60,aws_db_instance.target,/CTX-07/context_a/main.tf,,Ensure RDS instance with copy tags to snapshots is enabled
1af79813bf543559,CTX-07-B,CTX-07,context_b,CKV2_AWS_60,aws_db_instance.target,/CTX-07/context_b/main.tf,,Ensure RDS instance with copy tags to snapshots is enabled
68eec1f6592b53fa,CTX-08-A,CTX-08,context_a,CKV2_AWS_60,aws_db_instance.target,/CTX-08/context_a/main.tf,,Ensure RDS instance with copy tags to snapshots is enabled
f7e04f9b8831cc8e,CTX-08-B,CTX-08,context_b,CKV2_AWS_60,aws_db_instance.target,/CTX-08/context_b/main.tf,,Ensure RDS instance with copy tags to snapshots is enabled
d90a2821047df2d8,CTX-09-A,CTX-09,context_a,CKV2_AWS_5,aws_security_group.target,/CTX-09/context_a/main.tf,,Ensure that Security Groups are attached to another resource
6a35f64e1dd0944e,CTX-09-B,CTX-09,context_b,CKV2_AWS_5,aws_security_group.target,/CTX-09/context_b/main.tf,,Ensure that Security Groups are attached to another resource
fde3297547855973,CTX-02-A,CTX-02,context_a,CKV_AWS_18,aws_s3_bucket.this,/CTX-02/context_a/main.tf,,Ensure the S3 bucket has access logging enabled
2976560351853f96,CTX-02-B,CTX-02,context_b,CKV_AWS_18,aws_s3_bucket.this,/CTX-02/context_b/main.tf,,Ensure the S3 bucket has access logging enabled
834a75a67162b726,CTX-06-A,CTX-06,context_a,CKV_AWS_18,aws_s3_bucket.target,/CTX-06/context_a/main.tf,,Ensure the S3 bucket has access logging enabled
70d8955448e5cf72,CTX-06-B,CTX-06,context_b,CKV_AWS_18,aws_s3_bucket.target,/CTX-06/context_b/main.tf,,Ensure the S3 bucket has access logging enabled
35e90d14e4c56ddb,CTX-10-A,CTX-10,context_a,CKV_AWS_18,aws_s3_bucket.logs,/CTX-10/context_a/main.tf,,Ensure the S3 bucket has access logging enabled
042c58627ad93fae,CTX-10-A,CTX-10,context_a,CKV_AWS_18,aws_s3_bucket.target,/CTX-10/context_a/main.tf,,Ensure the S3 bucket has access logging enabled
9d545ecfabf11acf,CTX-10-B,CTX-10,context_b,CKV_AWS_18,aws_s3_bucket.logs,/CTX-10/context_b/main.tf,,Ensure the S3 bucket has access logging enabled
5ac340b1fc06faab,CTX-10-B,CTX-10,context_b,CKV_AWS_18,aws_s3_bucket.target,/CTX-10/context_b/main.tf,,Ensure the S3 bucket has access logging enabled
4e1d0610ee72d313,CTX-07-A,CTX-07,context_a,CKV2_AWS_30,aws_db_instance.target,/CTX-07/context_a/main.tf,,Ensure Postgres RDS as aws_db_instance has Query Logging enabled
3b5967252fa92e44,CTX-07-B,CTX-07,context_b,CKV2_AWS_30,aws_db_instance.target,/CTX-07/context_b/main.tf,,Ensure Postgres RDS as aws_db_instance has Query Logging enabled
c4ebb5b783aff36d,CTX-08-A,CTX-08,context_a,CKV2_AWS_30,aws_db_instance.target,/CTX-08/context_a/main.tf,,Ensure Postgres RDS as aws_db_instance has Query Logging enabled
b0f10e70138f99a6,CTX-08-B,CTX-08,context_b,CKV2_AWS_30,aws_db_instance.target,/CTX-08/context_b/main.tf,,Ensure Postgres RDS as aws_db_instance has Query Logging enabled
9637eb0620be95d9,CTX-06-A,CTX-06,context_a,CKV2_AWS_40,aws_iam_policy.target,/CTX-06/context_a/main.tf,,Ensure AWS IAM policy does not allow full IAM privileges
9ef48db427ed198f,CTX-06-B,CTX-06,context_b,CKV2_AWS_40,aws_iam_policy.target,/CTX-06/context_b/main.tf,,Ensure AWS IAM policy does not allow full IAM privileges
0c647dc8eb522dba,CTX-01-A,CTX-01,context_a,CKV2_AWS_61,aws_s3_bucket.access_logs,/CTX-01/context_a/main.tf,,Ensure that an S3 bucket has a lifecycle configuration
30e9d86b7cdea5a0,CTX-01-A,CTX-01,context_a,CKV2_AWS_61,aws_s3_bucket.main,/CTX-01/context_a/main.tf,,Ensure that an S3 bucket has a lifecycle configuration
8f5c8292f36d5480,CTX-01-B,CTX-01,context_b,CKV2_AWS_61,aws_s3_bucket.access_logs,/CTX-01/context_b/main.tf,,Ensure that an S3 bucket has a lifecycle configuration
a422c934d0b00dc0,CTX-01-B,CTX-01,context_b,CKV2_AWS_61,aws_s3_bucket.main,/CTX-01/context_b/main.tf,,Ensure that an S3 bucket has a lifecycle configuration
b83219f7bf95db2a,CTX-02-A,CTX-02,context_a,CKV2_AWS_61,aws_s3_bucket.this,/CTX-02/context_a/main.tf,,Ensure that an S3 bucket has a lifecycle configuration
9b2fa2a3fc6078c8,CTX-02-B,CTX-02,context_b,CKV2_AWS_61,aws_s3_bucket.this,/CTX-02/context_b/main.tf,,Ensure that an S3 bucket has a lifecycle configuration
2983890c8532b376,CTX-06-A,CTX-06,context_a,CKV2_AWS_61,aws_s3_bucket.target,/CTX-06/context_a/main.tf,,Ensure that an S3 bucket has a lifecycle configuration
ff6bad3b147fcea9,CTX-06-B,CTX-06,context_b,CKV2_AWS_61,aws_s3_bucket.target,/CTX-06/context_b/main.tf,,Ensure that an S3 bucket has a lifecycle configuration
9b3def6a87aad456,CTX-10-A,CTX-10,context_a,CKV2_AWS_61,aws_s3_bucket.logs,/CTX-10/context_a/main.tf,,Ensure that an S3 bucket has a lifecycle configuration
8e9e65e04080120c,CTX-10-A,CTX-10,context_a,CKV2_AWS_61,aws_s3_bucket.target,/CTX-10/context_a/main.tf,,Ensure that an S3 bucket has a lifecycle configuration
8247cf260aebd08b,CTX-10-B,CTX-10,context_b,CKV2_AWS_61,aws_s3_bucket.logs,/CTX-10/context_b/main.tf,,Ensure that an S3 bucket has a lifecycle configuration
f346850541b149e8,CTX-10-B,CTX-10,context_b,CKV2_AWS_61,aws_s3_bucket.target,/CTX-10/context_b/main.tf,,Ensure that an S3 bucket has a lifecycle configuration
1fd85ce5c365590a,CTX-05-A,CTX-05,context_a,CKV2_AWS_1,aws_network_acl.main,/CTX-05/context_a/main.tf,,Ensure that all NACL are attached to subnets
7209b95bd04a39ac,CTX-05-B,CTX-05,context_b,CKV2_AWS_1,aws_network_acl.main,/CTX-05/context_b/main.tf,,Ensure that all NACL are attached to subnets
51ffdd3b34497c44,CTX-01-A,CTX-01,context_a,CKV2_AWS_62,aws_s3_bucket.access_logs,/CTX-01/context_a/main.tf,,Ensure S3 buckets should have event notifications enabled
ff42e442f6c379ba,CTX-01-A,CTX-01,context_a,CKV2_AWS_62,aws_s3_bucket.main,/CTX-01/context_a/main.tf,,Ensure S3 buckets should have event notifications enabled
21af3a2e4428be0e,CTX-01-B,CTX-01,context_b,CKV2_AWS_62,aws_s3_bucket.access_logs,/CTX-01/context_b/main.tf,,Ensure S3 buckets should have event notifications enabled
bd2b4ad0a2c1414c,CTX-01-B,CTX-01,context_b,CKV2_AWS_62,aws_s3_bucket.main,/CTX-01/context_b/main.tf,,Ensure S3 buckets should have event notifications enabled
3750d39ecaa20337,CTX-02-A,CTX-02,context_a,CKV2_AWS_62,aws_s3_bucket.this,/CTX-02/context_a/main.tf,,Ensure S3 buckets should have event notifications enabled
fe97e665c0474b40,CTX-02-B,CTX-02,context_b,CKV2_AWS_62,aws_s3_bucket.this,/CTX-02/context_b/main.tf,,Ensure S3 buckets should have event notifications enabled
385b47dfa09bb515,CTX-06-A,CTX-06,context_a,CKV2_AWS_62,aws_s3_bucket.target,/CTX-06/context_a/main.tf,,Ensure S3 buckets should have event notifications enabled
9be6f8ba9f89251d,CTX-06-B,CTX-06,context_b,CKV2_AWS_62,aws_s3_bucket.target,/CTX-06/context_b/main.tf,,Ensure S3 buckets should have event notifications enabled
293b7104025951ee,CTX-10-A,CTX-10,context_a,CKV2_AWS_62,aws_s3_bucket.logs,/CTX-10/context_a/main.tf,,Ensure S3 buckets should have event notifications enabled
cfdcfff6c3ae5f54,CTX-10-A,CTX-10,context_a,CKV2_AWS_62,aws_s3_bucket.target,/CTX-10/context_a/main.tf,,Ensure S3 buckets should have event notifications enabled
d14fbc1d8f600454,CTX-10-B,CTX-10,context_b,CKV2_AWS_62,aws_s3_bucket.logs,/CTX-10/context_b/main.tf,,Ensure S3 buckets should have event notifications enabled
0d5b9a66d3cc4ecb,CTX-10-B,CTX-10,context_b,CKV2_AWS_62,aws_s3_bucket.target,/CTX-10/context_b/main.tf,,Ensure S3 buckets should have event notifications enabled
0c086795d5ea5677,CTX-03-A,CTX-03,context_a,CKV2_AWS_11,aws_vpc.main,/CTX-03/context_a/main.tf,,Ensure VPC flow logging is enabled in all VPCs
fbacbbcd21277ad5,CTX-03-B,CTX-03,context_b,CKV2_AWS_11,aws_vpc.main,/CTX-03/context_b/main.tf,,Ensure VPC flow logging is enabled in all VPCs
979767190a7cdd7b,CTX-04-A,CTX-04,context_a,CKV2_AWS_11,aws_vpc.main,/CTX-04/context_a/main.tf,,Ensure VPC flow logging is enabled in all VPCs
6085077ea6a494db,CTX-04-B,CTX-04,context_b,CKV2_AWS_11,aws_vpc.main,/CTX-04/context_b/main.tf,,Ensure VPC flow logging is enabled in all VPCs
1f16810e2f6d99c5,CTX-09-A,CTX-09,context_a,CKV2_AWS_11,aws_vpc.target,/CTX-09/context_a/main.tf,,Ensure VPC flow logging is enabled in all VPCs
